tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
455,2018-03-01 00:00:03,2018-03-01 00:07:39,405,Washington St & Gansevoort St,40.739323,-74.008119,368,Carmine St & 6 Ave,40.73038599,-74.00214988,17629,Annual Membership from Citi Bike App,Subscriber,1993,1
486,2018-03-01 00:00:06,2018-03-01 00:08:12,146,Hudson St & Reade St,40.71625008,-74.0091059,363,West Thames St,40.70834698,-74.01713445,31491,Annual Membership,Subscriber,1954,1
333,2018-03-01 00:00:07,2018-03-01 00:05:41,257,Lispenard St & Broadway,40.71939226,-74.00247214,361,Allen St & Hester St,40.71605866,-73.99190759,31991,FREE Bonus Month with Annual Membership,Subscriber,1986,1
1629,2018-03-01 00:00:21,2018-03-01 00:27:31,3556,24 St & 41 Ave,40.7527085,-73.9397405,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,18265,Annual Membership,Subscriber,1990,1
64,2018-03-01 00:00:32,2018-03-01 00:01:37,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,27697,Annual Membership,Subscriber,1985,1
1645,2018-03-01 00:00:44,2018-03-01 00:28:09,304,Broadway & Battery Pl,40.70463334,-74.01361706,531,Forsyth St & Broome St,40.71893904,-73.99266288,18200,Annual Membership,Subscriber,1995,1
1201,2018-03-01 00:00:52,2018-03-01 00:20:54,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,31273,Annual Membership,Subscriber,1996,1
1582,2018-03-01 00:00:56,2018-03-01 00:27:19,311,Norfolk St & Broome St,40.7172274,-73.98802084,319,Fulton St & Broadway,40.711066,-74.009447,33334,Annual Membership,Subscriber,1990,1
805,2018-03-01 00:01:00,2018-03-01 00:14:25,3295,Central Park W & W 96 St,40.79127,-73.964839,3531,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,30818,24 Hour,Customer,NULL,0
937,2018-03-01 00:01:01,2018-03-01 00:16:38,403,E 2 St & 2 Ave,40.72502876,-73.99069656,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17177,Annual Membership,Subscriber,1963,1
580,2018-03-01 00:01:01,2018-03-01 00:10:41,3158,W 63 St & Broadway,40.77163851,-73.98261428,484,W 44 St & 5 Ave,40.75500254,-73.98014437,32088,Annual Membership from Citi Bike App,Subscriber,1982,1
866,2018-03-01 00:01:06,2018-03-01 00:15:32,519,Pershing Square North,40.751873,-73.977706,238,Bank St & Washington St,40.7361967,-74.00859207,30953,Annual Membership,Subscriber,1991,1
442,2018-03-01 00:01:06,2018-03-01 00:08:28,265,Stanton St & Chrystie St,40.72229346,-73.99147535,445,E 10 St & Avenue A,40.72740794,-73.98142006,32781,Annual Membership from Citi Bike App,Subscriber,1992,1
211,2018-03-01 00:01:12,2018-03-01 00:04:43,285,Broadway & E 14 St,40.73454567,-73.99074142,326,E 11 St & 1 Ave,40.72953837,-73.98426726,30857,Annual Membership,Subscriber,1981,1
791,2018-03-01 00:01:12,2018-03-01 00:14:23,3295,Central Park W & W 96 St,40.79127,-73.964839,3531,Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,19263,24 Hour,Customer,NULL,0
1808,2018-03-01 00:01:13,2018-03-01 00:31:21,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,20852,Annual Membership,Subscriber,1987,1
1383,2018-03-01 00:01:33,2018-03-01 00:24:37,536,1 Ave & E 30 St,40.74144387,-73.97536082,259,South St & Whitehall St,40.70122128,-74.01234218,30135,Annual Membership,Subscriber,1963,1
81,2018-03-01 00:01:36,2018-03-01 00:02:57,3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,21513,$25 Off Annual Membership,Subscriber,1990,1
1293,2018-03-01 00:02:07,2018-03-01 00:23:40,346,Bank St & Hudson St,40.73652889,-74.00618026,405,Washington St & Gansevoort St,40.739323,-74.008119,32142,Annual Membership,Subscriber,1973,1
159,2018-03-01 00:02:07,2018-03-01 00:04:46,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,32853,Annual Membership,Subscriber,1989,1
513,2018-03-01 00:02:10,2018-03-01 00:10:43,447,8 Ave & W 52 St,40.76370739,-73.9851615,490,8 Ave & W 33 St,40.751551,-73.993934,32828,$25 Off Annual Membership,Subscriber,1969,1
442,2018-03-01 00:02:12,2018-03-01 00:09:34,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,349,Rivington St & Ridge St,40.71850211,-73.98329859,32392,$25 Off Annual Membership,Subscriber,1974,2
648,2018-03-01 00:02:13,2018-03-01 00:13:02,526,E 33 St & 5 Ave,40.74765947,-73.98490707,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,19958,Annual Membership,Subscriber,1973,1
1073,2018-03-01 00:02:27,2018-03-01 00:20:20,289,Monroe St & Classon Ave,40.6845683,-73.95881081,289,Monroe St & Classon Ave,40.6845683,-73.95881081,19726,Annual Membership,Subscriber,1985,1
